"quantile","threshold","group","size","weighted_clustering","unweighted_clustering","density","weighted_assortativity","unweighted_assortativity","size_(%)","size_ratio"
0.51,0.34928897919999996,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.51,0.34928897919999996,"1",4,0.6525994906746264,0.8333333333333333,0.8333333333333334,-0.5304607246192884,-0.6666666666666666,80,0.8
0.51,0.34928897919999996,"2",0,"","","","","",0,0.0
0.52,0.3567460984,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.52,0.3567460984,"1",4,0.6525994906746264,0.8333333333333333,0.8333333333333334,-0.5304607246192884,-0.6666666666666666,80,0.8
0.52,0.3567460984,"2",0,"","","","","",0,0.0
0.53,0.3642032176,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.53,0.3642032176,"1",4,0.6525994906746264,0.8333333333333333,0.8333333333333334,-0.5304607246192884,-0.6666666666666666,80,0.8
0.53,0.3642032176,"2",0,"","","","","",0,0.0
0.54,0.37166033680000005,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.54,0.37166033680000005,"1",4,0.6525994906746264,0.8333333333333333,0.8333333333333334,-0.5304607246192884,-0.6666666666666666,80,0.8
0.54,0.37166033680000005,"2",0,"","","","","",0,0.0
0.55,0.379117456,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.55,0.379117456,"1",4,0.6525994906746264,0.8333333333333333,0.8333333333333334,-0.5304607246192884,-0.6666666666666666,80,0.8
0.55,0.379117456,"2",0,"","","","","",0,0.0
0.56,0.3938625368000002,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.56,0.3938625368000002,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.56,0.3938625368000002,"2",0,"","","","","",0,0.0
0.57,0.4177175696000002,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.57,0.4177175696000002,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.57,0.4177175696000002,"2",0,"","","","","",0,0.0
0.58,0.44157260239999996,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.58,0.44157260239999996,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.58,0.44157260239999996,"2",0,"","","","","",0,0.0
0.59,0.4654276351999999,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.59,0.4654276351999999,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.59,0.4654276351999999,"2",0,"","","","","",0,0.0
0.6,0.48928266799999987,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.6,0.48928266799999987,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.6,0.48928266799999987,"2",0,"","","","","",0,0.0
0.61,0.5131377008000001,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.61,0.5131377008000001,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.61,0.5131377008000001,"2",0,"","","","","",0,0.0
0.62,0.5181714984,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.62,0.5181714984,"1",5,0.3031627634914133,0.3333333333333333,0.5,-0.457985336408568,-0.5624999999999999,100,1.0
0.62,0.5181714984,"2",0,"","","","","",0,0.0
0.63,0.5208526416,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.63,0.5208526416,"1",5,0.3031627634914133,0.3333333333333333,0.5,-0.457985336408568,-0.5624999999999999,100,1.0
0.63,0.5208526416,"2",0,"","","","","",0,0.0
0.64,0.5235337848,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.64,0.5235337848,"1",5,0.3031627634914133,0.3333333333333333,0.5,-0.457985336408568,-0.5624999999999999,100,1.0
0.64,0.5235337848,"2",0,"","","","","",0,0.0
0.65,0.526214928,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.65,0.526214928,"1",5,0.3031627634914133,0.3333333333333333,0.5,-0.457985336408568,-0.5624999999999999,100,1.0
0.65,0.526214928,"2",0,"","","","","",0,0.0
0.66,0.5288960712,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.66,0.5288960712,"1",5,0.3031627634914133,0.3333333333333333,0.5,-0.457985336408568,-0.5624999999999999,100,1.0
0.66,0.5288960712,"2",0,"","","","","",0,0.0
0.67,0.531354144,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.67,0.531354144,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.67,0.531354144,"2",0,"","","","","",0,0.0
0.68,0.533366076,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.68,0.533366076,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.68,0.533366076,"2",0,"","","","","",0,0.0
0.69,0.5353780079999999,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.69,0.5353780079999999,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.69,0.5353780079999999,"2",0,"","","","","",0,0.0
0.7,0.53738994,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.7,0.53738994,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.7,0.53738994,"2",0,"","","","","",0,0.0
0.71,0.539401872,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
